name,nickname,country_code,age,height,average,global_position,value,wage,best_foot,weak_foot_5stars,heading,jump,long_pass,short_pass,dribbling,acceleration,speed,shot_power,long_shot,stamina,defense,interception,team_id_fk,game
Lionel Messi,L. Messi,ar,31,170,94,Delantero,110500000.0,575000.0,Zurdo,4,70,68,89,92,97,91,86,85,94,72,87,22,0,fifa19
C. Ronaldo dos Santos Aveiro,Cristiano Ronaldo,pt,33,187,94,Delantero,77000000.0,400000.0,Diestro,4,89,95,77,81,88,89,91,95,93,88,82,29,1,fifa19
Neymar da Silva Santos Jr.,Neymar Jr,br,26,175,92,Delantero,108000000.0,300000.0,Diestro,5,62,61,80,84,96,94,90,80,82,81,84,36,2,fifa19
Jan Oblak,J. Oblak,si,25,188,91,Portero,75500000.0,120000.0,Diestro,3,15,76,26,29,12,43,60,22,12,41,57,19,3,fifa19
Kevin De Bruyne,K. De Bruyne,be,27,181,91,Centrocampista,93000000.0,350000.0,Diestro,5,55,63,91,92,86,78,76,91,90,89,177,61,4,fifa19
Eden Hazard,E. Hazard,be,27,173,91,Delantero,93000000.0,325000.0,Diestro,4,61,56,83,89,95,94,88,82,80,84,83,41,5,fifa19
Luka Modrić,L. Modrić,hr,32,172,91,Centrocampista,67000000.0,425000.0,Diestro,4,55,68,88,93,90,78,72,79,82,89,217,83,6,fifa19
Luis Suárez,L. Suárez,uy,31,182,91,Delantero,80000000.0,450000.0,Diestro,4,82,69,69,82,86,83,73,86,85,90,145,41,0,fifa19
Harry Kane,H. Kane,gb-eng,24,188,90,Delantero,96500000.0,200000.0,Diestro,4,86,79,83,82,80,68,72,88,86,89,130,35,7,fifa19
David De Gea Quintana,De Gea,es,27,192,90,Portero,62500000.0,200000.0,Diestro,3,21,67,47,50,18,57,58,31,12,43,59,30,8,fifa19
Robert Lewandowski,R. Lewandowski,pl,29,184,90,Delantero,77000000.0,200000.0,Diestro,4,85,84,65,83,85,77,78,88,84,78,95,39,9,fifa19
Diego Godín,D. Godín,uy,32,187,90,Defensa,44000000.0,120000.0,Diestro,3,92,91,70,79,53,64,62,67,43,66,268,88,3,fifa19
David Josué Jiménez Silva,David Silva,es,32,173,90,Centrocampista,60000000.0,275000.0,Zurdo,2,54,64,85,93,89,70,64,72,74,76,141,50,4,fifa19
Sergio Ramos García,Sergio Ramos,es,32,184,90,Defensa,44000000.0,300000.0,Diestro,3,91,93,83,80,65,76,75,79,62,84,266,88,6,fifa19
Giorgio Chiellini,G. Chiellini,it,33,187,90,Defensa,31000000.0,225000.0,Zurdo,3,83,89,63,63,60,63,75,78,49,65,277,88,1,fifa19
N'Golo Kanté,N. Kanté,fr,27,168,89,Centrocampista,63000000.0,225000.0,Diestro,3,54,77,81,86,79,79,77,71,69,97,266,92,5,fifa19
Paulo Dybala,P. Dybala,ar,24,177,89,Centrocampista,89000000.0,200000.0,Zurdo,3,68,75,77,87,92,87,83,82,88,80,63,32,1,fifa19
Mohamed Salah,M. Salah,eg,26,175,89,Delantero,71500000.0,275000.0,Zurdo,3,59,68,74,83,89,94,92,80,83,84,122,55,10,fifa19
Virgil van Dijk,V. van Dijk,nl,26,193,89,Defensa,67000000.0,225000.0,Diestro,3,85,88,81,79,70,74,79,81,64,75,265,89,10,fifa19
Antoine Griezmann,A. Griezmann,fr,27,176,89,Delantero,71000000.0,140000.0,Zurdo,3,84,90,78,84,87,88,85,82,82,86,161,49,3,fifa19
Marc-André ter Stegen,M. ter Stegen,de,26,187,89,Portero,58000000.0,250000.0,Diestro,4,11,79,47,42,17,38,50,22,10,35,48,22,0,fifa19
Sergio Busquets Burgos,Sergio Busquets,es,29,189,89,Centrocampista,51500000.0,300000.0,Diestro,3,68,66,82,89,80,50,52,61,54,86,256,87,0,fifa19
Toni Kroos,T. Kroos,de,28,183,89,Centrocampista,66000000.0,350000.0,Diestro,5,58,30,93,92,81,59,57,87,88,75,212,76,6,fifa19
Edinson Cavani,E. Cavani,uy,31,185,89,Delantero,60000000.0,200000.0,Diestro,4,89,88,52,78,80,75,76,87,79,92,136,48,2,fifa19
Sergio Agüero,S. Agüero,ar,30,173,89,Delantero,64500000.0,300000.0,Diestro,4,77,81,64,81,89,86,78,88,83,76,62,24,4,fifa19
Kylian Mbappé,K. Mbappé,fr,19,178,88,Delantero,82000000.0,100000.0,Diestro,4,77,75,73,82,90,96,96,80,79,83,100,38,2,fifa19
Kalidou Koulibaly,K. Koulibaly,sn,27,187,88,Defensa,58000000.0,130000.0,Diestro,3,83,81,60,68,69,70,75,55,15,75,266,88,11,fifa19
Paul Pogba,P. Pogba,fr,25,191,88,Centrocampista,73000000.0,250000.0,Diestro,4,75,83,90,86,87,71,79,90,82,88,197,64,8,fifa19
Thibaut Courtois,T. Courtois,be,26,199,88,Portero,47500000.0,225000.0,Zurdo,2,13,68,35,33,13,46,52,36,17,38,54,15,6,fifa19
Christian Eriksen,C. Eriksen,dk,26,181,88,Centrocampista,69500000.0,200000.0,Diestro,5,52,50,89,91,82,76,73,84,89,92,138,56,7,fifa19
Pierre-Emerick Aubameyang,P. Aubameyang,ga,29,187,88,Delantero,59000000.0,250000.0,Diestro,4,79,79,64,77,79,93,95,82,79,76,88,48,12,fifa19
Marco Reus,M. Reus,de,29,180,88,Centrocampista,58000000.0,130000.0,Diestro,4,49,70,77,86,87,85,85,88,86,76,130,48,13,fifa19
Mats Hummels,M. Hummels,de,29,191,88,Defensa,46000000.0,160000.0,Diestro,3,87,68,85,81,68,47,56,71,51,66,266,92,9,fifa19
Hugo Lloris,H. Lloris,fr,31,188,88,Portero,36000000.0,150000.0,Zurdo,1,10,74,50,50,10,65,62,23,14,41,57,27,7,fifa19
Manuel Neuer,M. Neuer,de,32,193,88,Portero,34000000.0,120000.0,Diestro,4,25,77,59,55,30,54,60,25,16,43,38,30,9,fifa19
Thiago Emiliano da Silva,Thiago Silva,br,33,183,88,Defensa,24000000.0,160000.0,Diestro,3,81,90,80,80,62,68,69,71,68,74,262,89,2,fifa19
Samir Handanovič,S. Handanovič,si,33,193,88,Portero,30000000.0,110000.0,Diestro,2,10,78,34,36,12,51,55,22,19,41,48,22,14,fifa19
Gerard Piqué Bernabeu,Piqué,es,31,194,88,Defensa,40000000.0,275000.0,Diestro,3,85,74,81,83,63,54,63,62,51,67,263,89,0,fifa19
Alisson Ramses Becker,Alisson,br,25,191,87,Portero,46000000.0,130000.0,Diestro,3,19,52,44,45,27,54,45,21,14,32,50,11,10,fifa19
Sadio Mané,S. Mané,sn,26,175,87,Delantero,54000000.0,200000.0,Diestro,4,76,80,71,79,88,95,93,82,77,84,122,35,10,fifa19
Samuel Umtiti,S. Umtiti,fr,24,182,87,Defensa,57000000.0,200000.0,Zurdo,3,79,89,73,81,69,71,73,83,74,75,263,87,0,fifa19
